"primaryNameTib","primaryNameSkt","primaryNameEng","primaryNameLang","otherNameTib","otherNameSkt","otherNameEng","Dates","Date-Begin","Date-End","TranslatedBy","TranslatorOf","recID","bAuthor","bTranslator","Notes"
"'JIGS MED DAM CHOS RGYA MTSO","","Jigme Damchu Gyatso","TB","","","","1898-1946","23","24","","","118","0","0",""
"KA MA LA SH'I LA","kamalashi-la","Kamalashila","SK","","","","8th century","12","12","","","119","1","0",""
"KAMPA LA","kampala","Kampala","SK","","","","","0","25","","","120","1","0",""
"BLO BZANG 'JAM DBYANGS SMON LAM","","Lobsang Jamyang Munlam","TB","KE'U TSANG BLO BZANG 'JAM DBYANGS SMON LAM;KE'U TSANG 'JAM DBYANGS SMON LAM;RKED TSHANG BLO BZANG 'JAM DBYANGS SMON LAM","","Keutsang Lobsang Jamyang Munlam;Keutsang Jamyang Munlam;Ketsang Lobsang Jamyang Munlam","18th century","22","22","","","121","1","0",""
"KHA CHE'I PAn CHEN","ka-shmi-ra maha-pan.d.ita","Kashmira Mahapandita","TB","","","","","0","25","","","122","1","0",""
"KHAM LUNG PA","","","TB","KHAM LUNG PA","","Kamlungpa","b. 1232","17","17","","","123","0","0",""
"KHYAD PAR BSHES GNYEN","","","TB","KHYAD PAR BSHES GNYEN","vishes.amitra","Visheshamitra","","0","25","","","124","0","0",""
"KLONG RDOL BLA MA NGAG DBANG BLO BZANG","","Longdrol Lama Ngawang Losang","TB","NGAG DBANG BLO BZANG;NGAG DBANG CHOS 'DZIN;SE RA BYES LHO PA NGAG DBANG BLO BZANG;LHO PA NGAG DBANG BLO BZANG","","Ngawang Losang;Ngawang Chundzin;Sera Je Hlopa Ngawang Losang;Hlopa Ngawang Losang","1719-1794","22","22","","","125","1","0",""
"KLU SGRUB SNYING PO","na-ga-rjuna","Nagarjuna","TB","KLU SGRUB","na-ga-rjunagarbha","Arya Nagarjuna;Acharya Nagarjuna","c. 200","7","7","","","126","1","0",""
"KLU'I BSHES GNYEN","na-gamitra","Nagamitra","SK","","","","","0","25","","","127","1","0",""
"KO ZHUL GRAGS PA 'BYUNG GNAS","","Koshul Drakpa Jungney","TB","","","","1955-","24","24","","","128","1","0",""
"KONG KA SBYIN","","","TB","KONKA BYIN","","Konka Jin","","0","25","","","129","0","0",""
"KUN MKHYEN MTSO SNA BA SHES RAB BZANG PO","","Kunkyen Tsonawa Sherab Sangpo","TB","","","","c. 1250-1300","17","18","","","131","1","0",""
"LA tI RIN PO CHE","","","TB","LA tI RIN PO CHE","","Lati Rinpoche","1922-","24","24","","","132","0","0",""
"CHOS DAR RGYAS PA","","Chu Dargyepa","TB","LDONG STON;LDONG STON CHOS DAR RGYAS PA","","Dongtun;Dongtun Chu Dargyepa","b. 19th century","23","23","","","133","1","0","Studied at Bkra-shis-'khyil,\
Sungbum in one volume (chos tshan 26).\
\
"
"NGAG DBANG BLO BZANG CHOS LDAN","","Ngawang Losang ChÃ¶den","TB","LCANG SKYA NGAG DBANG BLO BZANG CHOS LDAN;LCANG SKYA 02 NGAG DBANG BLO BZANG CHOS LDAN;BSTAN 'DZIN LEGS BSHAD RGYA MTSO;BLO BZANG CHOS LDAN;LCANG SKYA NGAG DBANG CHOS LDAN;LCANG SKYA DGE 'DUN SKYABS","","Changkya Ngawang Losang Chöden;Tenzin Lekshey Gyatso;Losang Chöden;Changkya Ngawang Chöden;Changkya Gendun Kyap","1642-1714","21","22","","","134","1","0",""
"LCANG SKYA ROL PA'I RDO RJE","","","TB","LCANG SKYA ROL PA'I RDO RJE","","Changkya Rolpey Dorje","1717-1786","22","22","","","135","0","0",""
"SKAL BZANG THUB BSTAN 'JIGS MED RGYA MTSO","","Kelsang Tupten Jigme Gyatso","TB","RGYAL SRAS 05 SKAL BZANG THUB BSTAN 'JIGS MED RGYA MTSO;'JIGS MED RGYA MTSO, 'ON RGYAL SRAS;YONGS 'DZIN NO MIN HAN SKAL BZANG THUB BSTAN 'JIGS MED RGYA MTSO;'ON RGYAL SRAS 5 SKAL BZANG THUB BSTAN 'JIGS MED RGYA MTSO;BSKAL BZANG THUB BSTAN;RGYAL SRAS SKAL BZANG THUB BSTAN","","The Fifth Gyelsey, Kelsang Tupten Jigme Gyatso;Jigme Gyatso, On Gyelsey;Yongdzin Nominhan Kelsang Tupten Jigme Gyatso;The Fifth On Gyelsey, Kelsang Tupten Jigme Gyatso;Kelsang Tupten;Gyelsey Kelsang Tupten","1743-1811","22","23","","","136","1","0","Important dge lugs incarnate lama; served as the yongs 'dzin to the 9th dalai lama.\
\
Ming mdzod gives no year for death.\
Sungbum in 3 middle-sized volumes.\
1746, installed at 'on nges-gsang-dar-rgyas-gling and receives dge-bsnyen vows from 7th Dalai Lama who gives the name.\
1752, rab byung vows from 7th Dalai Lama.\
1761, final vows from phur-bu-lcog ngag-dbang-byams-pa.\
1766, obtains lha-rams-pa degree.\
1767, meets pan-chen dpal-ldan-ye-shes at bkra-shis-lhun-po.\
1768-1771, in three year retreat.\
1808, receives title of no-min-han and becomes yongs-'dzin of 9th Dalai Lama.\
bod kyi gal che'i lo rgyus: d. at 69 in lcags lug.\
"
"LEGS LDAN 'BYED","bha-vaviveka","Bhavaviveka","SK","","","","490-570 AD","9","10","","","137","1","0",""
"MA H'A MA TI","maha-mati","Mahamati","SK","","","","","0","25","","","138","1","0",""
"MAR ME MDZAD DPAL YE SHES","ati-sha","Atisha","TB","AA T'I SHA;DPAL MAR ME MDZAD YE SHES","di-pam.karashri-jn~a-na","","982-1052","14","15","","","139","1","0",""
"MCHIMS 'JAM PA'I DBYANGS","","","TB","MCHIMS 'JAM PA'I DBYANGS","","Chim Jampey Yang","c. 1280","17","17","","","140","0","0",""
"MCHOG LHA 'OD ZER","","Chokhla U-ser","TB","SHANGS PA KUN MKHYEN MCHOG LHA 'OD ZER;RWA BA STOD PA MCHOG LHA 'OD ZER;'JAM DBYANGS BLA MA MCHOG LHA 'OD ZER;PHYOGS LHA 'OD ZER;'JAM DBYANGS MCHOG LHA 'OD ZER","","Shangapa Kunkhyen Chokhla U-ser;Rawa Tupa Chokhla U-ser;Jamyang Lama Chokhla U-ser;Jamyang Chokhla U-ser","1429-1500","19","20","","","141","1","0",""
"RGYAL MTSAN DPAL","","Gyeltsen Pel","TB","YANG DGON PA RGYAL MTSAN DPAL;RGYAL BA YANG DGON PA;THUGS KYI RDO RJE;LHA GDONG PA RGYAL MTSAN DPAL;RGYAL BA YANG DGON PA RGYAL MTSAN DPAL","","Yanggunpa Gyeltsen Pel;Gyelwa Yanggun;Tukkyi Dorje;Hladongpa Gyeltsen Pel;Gyelwa Yanggunpa Gyeltsen Pel","1213-1258","17","17","","","142","1","0","One of the most famous masters of the 'brug pa dkar brgyud pa tradition"
"GRAGS PA RGYAL MTSAN","","Drakpa Gyeltsen","TB","RGYAL MKHAN PO GRAGS PA RGYAL MTSAN;BLO BZANG DON GRUB;CHOS 'KHOR RGYAL MKHAN PO GRAGS PA RGYAL MTSAN;BLA BRANG KHRI 23 GRAGS PA RGYAL MTSAN","","Gyel Kenpo Drakpa Gyeltsen;Losang Dundrup;Chunkor Gyel Khenpo Drakpa Gyeltsen;The 23rd Throne Holder of Ladrang, Drakpa Gyeltsen","1762-1835","22","23","","","419","1","0",""
"MKHAN PO MCHIMS NAM MKHA' GRAGS PA","","","TB","MKHAN PO MCHIMS NAM MKHA' GRAGS PA","","Khenpo Chim Namkha Drakpa","c. 1175","16","16","","","143","0","0",""
"MKHAS GRUB BSTAN PA DAR RGYAS","","","TB","MKHAS GRUB BSTAN PA DAR RGYAS","","Khedrup Tenpa Dargye","1493-1568","19","20","","","144","0","0",""
"NGAG DBANG YE SHES THUB BSTAN","","Ngawang Yeshe Tupten","TB","BLO BZANG THUB BSTAN;KHU RE MKHAN CHEN NGAG DBANG YE SHES THUB BSTAN;NGAG DBANG THUB BSTAN;NGAG DBANG YE SHES THUB BSTAN RAB 'BYAMS PA","","Losang Tupten;Kure Kenchen Ngawang Yeshe Tupten;Ngawang Tupten;Ngawang Yeshe Tupten Rapjampa","b. 19th century","23","23","","","145","1","0","Entered Khu-re for studies.\
Active into his 82nd year.\
Sungbum in 2 volumes (91 chos tshan)."
"BZHAD PA'I RDO RJE","","Shepey Dorje","TB","SLE LUNG RJE DRUNG BZHAD PA'I RDO RJE;BLO BZANG 'PHRIN LAS, SLE LUNG;'OL DGA' RJE DRUNG 04 BLO BZANG 'PHRIN LAS;BLO BZANG BSTAN PA GRUB PA'I RGYAL MTSAN;'PHRIN LAS DBANG PO","","Lelung Jedrung Shepey Dorje;Losang Trinley, Lelung;The Fourth Olga Jedrung, Losang Trinley;Losang Tenpa Drupey Gyeltsen;Trinley Wangpo","b. 1697","21","21","","","440","1","0","Bod kyi gal che'i lo rgyus: Given name 'Phrin-las-dbang-po and d. at 44.\
Also called the 5th in the line of reembodiments of Lho-brag Grub-chen Las-kyi-rdo-rje.\
Enrolled in the Mnga'-ris Grwa-tshang for his exoteric studies.\
Received the Gsang ba ye shes cycle from Sngags-smyon Blo-gsal-rgya-mtsho.\
\
"
"SBYIN PA DAR RGYAS","","Jinpa Dargye","TB","MKHAS GRUB SBYIN PA DAR RGYAS;MKHAS MCHOG SBYIN PA DAR RGYAS","","Khedrup Jinpa Dargye;Khechok Jinpa Dargye","1558-?","20","20","","","146","0","0",""
"NGAG DBANG BKRA SHIS","","Ngawang Tashi","TB","BSE TSANG 01 NGAG DBANG BKRA SHIS;SRAS NGAG DBANG BKRA SHIS;SBYIN PA RGYA MTSO;BSE NGAG DBANG BKRA SHIS;BLA BRANG KHRI 02 NGAG DBANG BKRA SHIS","","The First Setsang Ngawang Tashi;Se Ngawang Tashi;Jinpa Gyatso;The Second Ladrang Tri Ngawang Tashi","1678-1738","21","22","","","147","1","0","W20304 biodata\
 	\
1693. to dbus and enters ''bras spungs sgo mang grwa tshang 1703. took his dka' bcu degree at gsang phu and final ordination from 'jam dbyangs bzhad pa'i rdo rje 1705. entered rgyud smad for studies. 1709. accompanied 'jam dbyangs bzhad pa on his return to A-mdo. 1710-1716. served as dge skos of the new monastery. 1719. came to the throne of bkra shis 'khyil and served for 20 years.\
W19803\
	\
source contains biographic sketch\
W19801 bio\
W19836 bibliography\
W23670 2d khri of bla brang bkra shis 'khyil\
W28810 born in re gong bse nya lung\
W20570 important dge lugs pa master; one of the most important disciples of the 1st 'jam dbyangs bzhad pa according to this source his students were: 'gyang ro sprul sku ngag dbang bstan 'dzin gser khang ba bsod nams rgya mtsho rkang tsha ngag dbang mkhyen rab dbal mang blo bzang don grub gling don grub rgya mtsho, rnga ba rab brtan rgya mtsho rnga ba chos skyong rgya mtsho 'be bstan 'dzin rgya mtsho, rnga ba go thob rab 'byams pa kun dga' bkra shis rab 'byams pa ngag dbang bsod nams"
"NGAG DBANG BLO BZANG RGYA MTSO","","His Holiness the Fifth Dalai Lama, Ngawang Lobsang Gyatso","TB","TA LAI BLA MA 05 NGAG DBANG BLO BZANG RGYA MTSO;RDO RJE THOGS MED RTZAL;GANG SHAR RANG GROL;TSANGS SRAS BZHAD PA'I RDO RJE 'JIGS MED GO CHA THUB BSTAN LANG TSO GSAR PA'I SDE;ZILL GNON BZHAD PA RTZAL;ZA HOR SNGAGS SMYON ZIL GNON BZHAD PA RTZAL;NAG PO ZIL GNON DRAG PO RTZAL;ZIL GNON DRAG RTZAL RDO RJE;RGYAL DBANG LNGA PA;BYANG SEMS MYU GU RTZAL","","Dorje Togme Tsal;Gangshar Rangdrol;Sil-ngon Sheypa Tsal;Sahor Sil-ngon Drakpo Tsal;Sil-ngon Draktsal Dorje;Jangsem Nyugu Tsal","1617-1682","21","21","","","148","1","0","1638: 5th dalai lama establishes the first zho ston dus chen at the beginning of the 7th month.\
"
"NGAG DBANG 'PHRIN LAS LHUN GRUB","","","TB","NGAG DBANG 'PHRIN LAS LHUN GRUB","","Ngawang Trinle Hlundrup","fl. 1665","21","21","","","149","0","0",""
"NGO BO NYID MED PA","asvabha-va","Asvabhava","SK","","","","","0","25","","","150","1","0",""
"NOR 'DZIN DPAL","vasudharashri-","Vasudharashri","TB","","","","","0","25","","","151","1","0",""
"NOR SBYIN","dhanada","Dhanada","TB","","","","","0","25","","","152","1","0",""
"NUB PA RIG 'DZIN GRAGS","","","TB","NUB PA RIG 'DZIN GRAGS","","Nuppa Rigdzin Drak","","0","25","","","153","0","0",""
"NYI MA RNAM PAR GNON PA","su-ryavikrama","Suryavikrama","TB","","","","","0","25","","","154","1","0",""
"NYI MA SBAS PA","su-ryagupta","Suryagupta","TB","","ravigupta;","Ravigupta;","7th century","11","11","","","155","1","0",""
"CHOS KYI RGYAL MTSAN (2)","","Chukyi Gyaltsen (2)","TB","CHOS KYI DBANG PHYUG;BLO BZANG PHRIN LAS LHUN GRUB CHOS KYI RGYAL MTSAN;PHRIN LAS LHUN GRUB CHOS KYI RGYAL MTSAN;BSTAN ’DZIN PHRIN LAS ‘JIGS MED CHOS KYI DBANG PHYUG;PAn CHEN ER TI NI CHOS KYI RGYAL MTSAN;PAn CHEN 07 BLO BZANG PHRIN LAS LHUN GRUB CHOS KYI RGYAL MTSAN ;PAn CHEN 10 BLO BZANG PHRIN LAS LHUN GRUB CHOS KYI RGYAL MTSAN (BKRA SHIS LHUN PO LUGS);PAn CHEN BLA MA 07;PAn CHEN BLA MA 10 (BKRA SHIS LHUN PO LUGS)","","Chukyi Wangchuk;Losang Trinley Hlundrup Chukyi Gyeltsen;Trinley Hlundrup Chukyi Gyeltsen;Tenzin Trinley Jikmey Chukyi Gyeltsen;Panchen Ertini Chukyi Gyeltsen;The 7th Panchen, Losang Trinley Hlundrup Chukyi Gyeltsen;The 10th Panchen, Losang Trinley Hlundrup Chukyi Gyeltsen (Tashi Hlunpo tradition);The 7th Panchen Lama;The 10th Panchen Lama (Tashi Hlunpo tradition)","1938-1989","0","25","","","156","1","0",""
"BLO BZANG TSUL KHRIMS (2)","","Losang Tsultrim (2)","TB","CHA HAR DGE BSHES BLO BZANG TSUL KHRIMS","","Chahar Geshe Losang Tsultrim","1740-1810","22","23","","","157","1","0","Important DGE LUGS PA scholar from the CHA HAR area of Inner Mongolia; he was born in the SOG PO DAR TSO CHEN PO KHO O CHA GAN territory, the son of THE TSE MGON RGYAL and mother BLO BZANG NYI MA.\
Early studies with A KHU DGE TSUL (mongolian and tibetan)."
"PAn CHEN BLO BZANG CHOS KYI RGYAL MTSAN","","Panchen Losang Chukyi Gyeltsen","TB","BLO BZANG CHOS KYI RGYAL MTSAN;BLO BZANG CHOS KYI GRAGS PA;SNANG BA MTHA' YAS PAn CHEN BLO BZANG CHOS KYI RGYAL MTSAN;BLO BZANG CHOS RGYAN;PAn CHEN SKU PHRENG DANG PO BLO BZANG CHOS KYI RGYAL MTSAN","","Losang Chukyi Gyeltsen;Losang Chukyi Drakpa;His Holiness the First Panchen Lama, Chukyi Gyeltsen;Nangwa Taye Panchen Losang Chukyi Gyeltsen;Losang Chugyen","1570-1662","20","21","","","158","1","0",""
"PAn CHEN BLO GROS LEGS BZANG","","","TB","PAn CHEN BLO GROS LEGS BZANG","","Panchen Lodru Leksang","","0","25","","","159","0","0",""
"PAn CHEN SH'AKYA SHR'I","","","TB","PAn CHEN SH'AKYA SHR'I","","Panchen Shakya Shri","c. 1200","17","17","","","160","0","0",""
"BSTAN PA'I NYI MA","","Tenpey Nyima","TB","PAn CHEN SKU PHRENG BZHI PA BSTAN PA'I NYI MA;PAn CHEN 04 BSTAN PA'I NYI MA;BLO BZANG DPAL LDAN BSTAN PA'I NYI MA;BLO BZANG TSUL KHRIMS","","His Holiness the Fourth Panchen Lama, Tenpey Nyima;Losang Pelden Tenpey Nyima;Losang Tsultrim","1782-1853","22","23","","","161","0","0","Hierarch of the dge lugs pa school; one of the preceptors of the 11th dalai lama; served as regent of tibet from 6/8/1844 to 26/4/1845"
"BDE CHEN SNYING PO","","Dechen Nyingpo","TB","PHA BONG KHA PA BDE CHEN SNYING PO;PHA BONG KHA RIN PO CHE;SKYABS RJE PHA BONG KHA BDE CHEN SNYING PO;NGAG DBANG RAB BRTAN;BYAMS PA BSTAN 'DZIN 'PHRIN LAS","","Pabongka Dechen Nyingpo;Pabongka Rinpoche;Kyabje Pabongka Dechen Nyingpo;Ngawang Rapten;Jampa Tenzin Trinley","1878-1941","23","24","","","162","1","0","Old TSD Schools table tree: \
\
-- Bka'-gdams-pa\
\
-- Dga'-ldan-pa\
 \
ming mdzod records place of birth as lha-sa nub phyogs g.yu-thog shar.\
1888, entered se-ra smad.\
1895, took his gling-bsre degree.\
1896, entered rgyud-stod.\
1897, took monastic vows from phur-bu-lcog.\
1918, enlisted to work on the lha-sa bka' 'gyur project at the nor-bu-gling-ka and created the dkar chag (incomplete).\
Built the nyang bran-phu rtag-brtan ri-khrod.\
gsung 'bum in 12 volumes."
"PHA DAM PA SANGS RGYAS","kr.s.n.a","Padampa Sanggye","SK","KRishnA PA;NAG PO PA;DAM PA SANGS RGYAS;MI PHAM MGON PO, DAM PA SANGS RGYAS","kr.s.n.apa-da","The Black One;Krishnapada","d. 1117","16","16","","","163","1","0",""
"'PHAGS MA SGROL MA","a-rya-ta-ra-","Arya Tara","TB","","","","","0","25","","","164","1","0",""
"'PHAGS PA BLO GROS","a-ryamati","Aryamati","TB","","","","","0","25","","","165","1","0",""
"'PHAGS PA LHA","a-ryadeva","Aryadeva","TB","","","","c. 200","7","7","","","166","1","0",""
"PHYAG NA RDO RJE","vajrapa-n.i","Vajrapani","SK","","","","","0","25","","","167","1","0",""
"PHYOGS KYI GLANG PO","digna-ga","Dignaga","SK","","","","c. 480-540","9","10","","","168","1","0",""
"PRA SHASTRA SE N'A","prasha-strasena","Prashastrasena","SK","","","","","0","25","","","169","1","0",""
"RAB 'BYOR DBYANGS","subhu-tighos.a","Subhutighosha","SK","","","","","0","25","","","170","1","0",""
"RDO RJE GDAN PA","","","TB","RDO RJE GDAN PA","vajra-sana","Vajrasana","","0","25","","","171","0","0",""
"RDO RJE MI BSKYOD PA","vajra-ks.obhya","Vajrakshobhya","TB","","","","","0","25","","","172","1","0",""
"RDO RJE MKHA' 'GRO","vajrad.a-ka","Vajradaka","TB","","","","","0","25","","","173","1","0",""
"RGYA BA CAN","","","TB","RGYA BA CAN","jina","Jina","","0","25","","","174","0","0",""
"RGYA MTSO SPRIN","","","TB","","sa-garamegha","Sagaramegha","","0","25","","","175","0","0",""
"SKAL BZANG RGYA MTSO","","Kelsang Gyatso","TB","BLO BZANG SKAL BZANG RGYA MTSO;RGYAL BA BDUN PA SKAL BZANG RGYA MTSO;BSKAL BZANG RGYA MTSO;TA LAI BLA MA 07 SKAL BZANG RGYA MTSO;'JAM DBYANGS SGEG PA'I LANG TSHO DBYANGS CAN DGYES PA'I RDO RJE ;TA LA'I BLA MA SKAL BZANG RGYA MTSO","","Losang Kelsang Gyatso;His Holiness the Seventh Dalai Lama, Gyalwa Kelsang Gyatso;His Holiness the Seventh Dalai Lama, Losang Kelsang Gyatso;His Holiness the Seventh Dalai Lama, Kelsang Gyatso;Jamyang Gegpey Langtso Yangchen Gyepey Dorje","1708-1757","22","22","","","176","1","0","Biography:\
      lcang-skya rol-pa'i-rdo-rje\
      mkhas grub chen po lcang skya rol pa'i rdo rjes mdzad pa'i rgyal dbang mchog gi rnam thar dpag bsam rin po che'i snye ma'i stod cha\
      424 ff. in vol. 1 of the 8 vol. gsung 'bum of the 7th Dalai Lama skal-bzang-rgya-mtsho.\
      rgyal dbang mchog gi rnam thar dpag bsam rin po che'i snye ma'i smad cha\
      186 ff. in vol. 2 of the 8 vol gsung 'bum of the 7th Dalai Lama skal-bzang-rgya-mtsho.\
"
"BLO BZANG MKHAS GRUB","","Losang Kedrup","TB","RGYAL BA BLO BZANG MKHAS GRUB","","Gyalwa Losang Kedrup","b. 20th century","24","24","","","177","1","0",""
"RGYAL BA DBEN SA PA","","","TB","RGYAL BA DBEN SA PA","","Gyalwa Wensapa","1505-1566","20","20","","","178","0","0",""
"BLO BZANG RAB BRTAN","","Losang Rapten","TB","STAG TSANG;STAG TSANG BLO BZANG RAB BRTAN;DON GRUB TSE RING","","Taktsang;Taktsang Losang Rapten;Dundrup Tsering","1676-1745","21","22","","","179","1","0","1694. To Tibet where he enters 'Bras-spungs Sgo-mang Grwa-tshang.\
1701. Took the gling-bsre dge-bshes degree.\
1702. Took monastic vows from the 2nd PaN-chen.\
1703. Return to Tibet at the order of Gong-ma Bstan-pa-yar-'phel.\
1712. Founds the hermitage of Stag-tshang Ri-khrod Bkra-shis-chos-gling at the behest of the 2nd PaN-chen.\
1715 or 1716. Met 7th Dalai Lama.\
Enjoyed the patronage of Co-ne Dpon-po Dmag-zor-mgon-po.\
Sungbum in 1 volume, 34 sections.\
\
"
"RGYAL BA DGE 'DUN RGYA MTSO","","","TB","RGYAL BA DGE 'DUN RGYA MTSO","","Gyelwa Gendun Gyatso","","0","25","","","180","0","0",""
"RGYAL BA'I BSHES GNYEN","","","TB","RGYAL BA'I BSHES GNYEN","jinamitra","Jinamitra","","0","25","","","182","0","0",""
"RGYAL BA'I DBANG PO BLO GROS","","","TB","RGYAL BA'I DBANG PO BLO GROS","jinendrabuddhi","Jinendrabuddhi","","0","25","","","183","0","0",""
"RGYAL BA'I SRAS","","","TB","RGYAL BA'I SRAS","jinaputra","Jinaputra","","0","25","","","184","0","0",""
"BLO BZANG 'PHRIN LAS RNAM RGYAL","","Losang Trinley Namgyel","TB","RGYAL DBANG CHOS RJE BLO BZANG 'PHRIN LAS RNAM RGYAL;'BRUG RGYAL DBANG CHOS RJE BLO BZANG 'PHRIN LAS RNAM RGYAL;'PHRIN LAS RNAM RGYAL;KONG SPRUL BLO BZANG 'PHRIN LAS RNAM RGYAL;SER STOD MKHAN PO BLO BZANG 'PHRIN LAS RNAM RGYAL","","Gyelwang Chuje Losang Trinley Namgyel;Drukgyelwang Chuje Losang Trinley Namgyel;Trinley Namgyel;Kongtrul Losang Trinley Namgyel;Sertu Kenpo Losang Trinley Namgyel","fl. 1840-1860","23","23","","","185","1","0","*   important dge lugs teacher of the 19th century; served as teacher to a number of dalai lamas\
\
*    Entered Se-ra Smad for studies.\
      Served as mtshan-zhabs to both the 10th Dalai Lama Tshul-khrims-rgya-mtsho and the llth Dalai Lama Mkhas-grub-rgya-mtsho.\
      Collected works in 4 printed volumes.\
\
*    source contains a brief biography\
      no dates given\
      mi sna (p. 912) \
\
* ming mdzod (p. 404) \
\
* dge lugs gsung 'bum dkar chag (p. 732) "
"RGYAL KHAMS PA 'JAM DBYANGS 'PHRIN LAS","","Gyalkampa Jamyang Trinle","TB","","","","fl. 1815","23","23","","","186","1","0",""
"RGYAL MCHOG 'JAM DPAL RGYA MTSO","","","TB","RGYAL MCHOG 'JAM DPAL RGYA MTSO","","Gyelchok Jampel Gyatso","1758-1804","22","23","","","187","0","0",""
"RGYAL PO'I LHA","","","TB","RGYAL PO'I LHA","jinadeva","Jinadeva","","0","25","","","188","0","0",""
"DAR MA RIN CHEN","","Darma Rinchen","TB","RGYAL TSAB RJE DAR MA RIN CHEN;RGYAL TSAB DAR MA RIN CHEN;KHRI 02 DAR MA RIN CHEN","","Gyeltsab Je Darma Rinchen;The Second Ganden Throne Holder, Darma Rinchen","1364-1432","18","19","","","189","0","0","Assume Office 1419 Dga' ldan khri at dga' ldan dgon (stag rtse rdzong)\
Leaves Office 1431 Dga' ldan khri at dga' ldan dgon (stag rtse rdzong)\
\
One of the two chief disciples of tsong kha pa and his first successor on the See of dga' ldan, 1419-1431.\
\
Took the degree of dka' bcu pa at sa skya, gsang phu, and rtsed thang.\
Debated against rong ston and against g.yag phrug pa.\
1419: came to the throne of dga' ldan and served ll years.\
Collected Works in 8 volumes.\
\
Master in the transmision lineage of the rngog lugs of the prajnaparamita\
"
"RIN CHEN 'BYUNG GNAS SBAS PA","ratna-karagupta","Ratnakaragupta","TB","","","","","0","25","","","190","1","0",""
"RIN CHEN 'BYUNG GNAS ZHI BA","ratna-karasha-nti","Ratnakarashanti","SK","","","","","0","25","","","191","1","0",""
"RIN CHEN GRAGS PA","ratnaki-rti","Ratnakirti","SK","","","","","0","25","","","192","1","0",""
"RIN CHEN RDO RJE","ratnavajra","Ratnavajra","TB","","","","","0","25","","","193","1","0",""
"RJE BTZUN BLO BZANG RTA DBYANGS","","","TB","RJE BTZUN BLO BZANG RTA DBYANGS","","Jetsun Lobsang Tayang","1867-1937","23","24","","","194","0","0",""
"RJE BTZUN GRAGS PA RGYAL MTSAN","","","TB","RJE BTZUN GRAGS PA RGYAL MTSAN","","Jetsun Drakpa Gyeltsen","1147-1216","16","17","","","195","0","0",""
"SMON LAM DPAL BA","","Monlam Pelwa","TB","RJE SMON LAM DPAL BA LEGS PA'I BLO GROS;RJE SMON LAM DPA' BA LEGS PA'I BLO GROS;KHRI 08 SMON LAM DPAL BA;G.YAS RU SMON LAM DPAL BA;SMON LAM LEGS PA'I BLO GROS","","Je Monlam Pelwa Lekpey Lodru;The Eighth Ganden Throne Holder, Monlam Pelwa;Yeru Monlam Pelwa;Monlam Lekpey Lodru","1414-1491","19","19","","","196","0","0","On See of dga' ldan: 1480-1489\
The last of the gtsang pa bdun brgyud of dga' ldan\
      dga' ldan dgon pa dang brag yer pa'i lo rgyus (p. 59) \
\
Entered Bkra-shis-lhun-po for studies.\
Took degree at Rtses-thang on the 36 shastras (rab 'byams pa).\
Studied at Gsang-phu.\
Taught at Bkra-shis-lhun-po, Se-ra Rgya Grwa-tshang, Thang-skya.\
Ascended khri of Shar-rtse and quelled conflict between Rtse and Shar.\
1480. Ascends khri of Dga'-ldan and serves for 11 years.\
1480. Rin-spungs Sa-skyong Don-yod-rdo-rje attacks Dga'-ldan for the second time. Performs the Mgon po gtor chen and plagues, death and destruction occur and the army disperses.\
Smon-lam-dpal is the last of the Gtsang-pa bdun brgyud.\
1481. Ascends concurrently as the khri of 'Bras-spungs.\
Teacher (not recorded): Yon-tan-rgya-mtsho (at Gsang-phu).\
Students (not recorded): Chos-rje Blo-bzang-pa, Ne-tso-pa.\
Gsung 'bum in one volume (printed).\
\
"
"BLO BZANG GRAGS PA'I DPAL","sumatikr.ti","Losang Drakpey Pel","TB","RJE TZONG KHA PA;TZONG KHA PA BLO BZANG GRAGS PA;RJE TZONG KHA PA BLO BZANG GRAGS PA;RJE RIN PO CHE BLO BZANG GRAGS PA;SU MA TI KiR RTI;KHRI 01 BLO BZANG GRAGS PA","","Je Tsongkapa;Je Tsongkapa Losang Drakpa;Je Rinpoche Losang Drakpa;Sumatikrti","1357-1419","18","19","","","197","1","0","1381. Takes final ordination at yar klung rnam rgyal dgon according to the transmission established by kha che paN chen\
1409. Founds Monastery at dga' ldan dgon (stag rtse rdzong).\
1409. Assumes Office of Dga' ldan khri at dga' ldan dgon (stag rtse rdzong).\
1417. Establishes at dga' ldan the yangs pa can gyi rten rnams\
1419. Leaves Office of Dga' ldan khri at dga' ldan dgon (stag rtse rdzong).\
\
Founder of the dge lugs pa tradition and the founder of dga' ldan.\
Master in the transmision lineage of the rngog lugs of the prajnaparamita.\
\
"
"RNAL 'BYOR PA DHARMA RAKshI TA","","","TB","RNAL 'BYOR PA DHARMA RAKshI TA","","Neljorpa Dharmarakshita","","0","25","","","198","0","0",""
"RNAM PAR GROL BA'I SDE","vimuktisena","Vimuktisena","SK","RNAM GROL SDE","","","c. 5th century","9","9","","","200","1","0",""
"RNAM RGYAL TSE RING","","","TB","RNAM RGYAL TSE RING","","Namgyel Tsering","","0","25","","","201","0","0",""
"RNYOG MED RDO RJE","","","TB","RNYOG MED RDO RJE","nis.kalan*kavajra","Nishkalankavajra","","0","25","","","202","0","0",""
